,0
1308,1602802
1309,1602784
1310,1602773
1311,1602772
1312,1602760
1313,1602752
1314,1602736
1315,1602721
1316,1602719
1317,1602716
1318,1602701
1319,1602696
1320,1602692
1321,1602691
1322,1602689
1323,1602637
1324,1602627
1325,1602616
1326,1602588
1327,1602586
1328,1602578
1329,1602576
1330,1602568
1331,1602561
1332,1602559
1333,1602557
1334,1602540
1335,1602519
1336,1602516
1337,1602510
1338,1543709
1339,1543326
1340,1542937
1341,1542502
1342,1542328
1343,1542226
1344,1542084
1345,1541864
1346,1541582
1347,1541361
1348,1540749
1349,1540726
1350,1540630
1351,1540516
1352,1540395
1353,1540181
1354,1539191
1355,1538224
1356,1537645
1357,1536991
1358,1536909
1359,1536889
1360,1536783
1361,1536697
1362,1535757
1363,1535497
1364,1535160
1365,1534866
1366,1534547
1367,1534166
1368,1534106
1369,1534004
1370,1533615
1371,1532742
1372,1532527
1373,1531990
1374,1531460
1375,1531300
1376,1531154
1377,1531102
1378,1531063
1379,1531036
1380,1530577
1381,1530199
1382,1530009
1383,1529677
1384,1529521
1385,1528560
1386,1528556
1387,1527329
1388,1527299
1389,1527154
1390,1526648
1391,1526529
1392,1525981
1393,1525930
1394,1525631
1395,1525608
1396,1525371
1397,1525235
1398,1525161
1399,1525159
1400,1525146
1401,1524048
1402,1523763
1403,1522291
1404,1521694
1405,1520822
1406,1520183
1407,1520087
1408,1519850
1409,1518879
1410,1518707
1411,1518666
1412,1518356
1413,1518257
1414,1518183
1415,1517697
1416,1517288
1417,1516181
1418,1514517
1419,1514500
1420,1514330
1421,1514261
1422,1513950
1423,1513350
1424,1513143
1425,1512330
1426,1511494
1427,1511211
1428,1511054
1429,1510727
1430,1510172
1431,1509399
1432,1508794
1433,1507956
1434,1507235
1435,1507234
1436,1506712
1437,1505266
1438,1504613
1439,1504412
1440,1504156
1441,1503751
1442,1503547
1443,1502508
1444,1501940
1445,1501705
1446,1501460
1447,1499485
1448,1497668
1449,1497490
1450,1496715
1451,1496264
1452,1496259
1453,1495645
1454,1494075
1455,1491655
1456,1489906
1457,1488094
1458,1487809
1459,1483629
1460,1479569
1461,1478930
1462,1472761
1463,1472665
1464,1471723
1465,1471214
1466,1468517
1467,1466740
1468,1466366
1469,1466363
1470,1465948
1471,1465326
1472,1454657
1473,1453506
1474,1452793
1475,1445063
1476,1440123
1477,1432168
1478,1425939
1479,1407705
1480,1358944
1481,1621696
1482,1621547
1483,1621546
1484,1621538
1485,1621461
1486,1621451
1487,1621450
1488,1621449
1489,1621433
1490,1620513
1491,1620287
1492,1620286
1493,1620285
1494,1620274
1495,1620273
1496,1620253
1497,1620243
1498,1620218
1499,1620086
1500,1619919
1501,1618899
1502,1618817
1503,1618793
1504,1618778
1505,1618539
1506,1618517
1507,1618468
1508,1618441
1509,1617554
1510,1617553
1511,1617550
1512,1617549
1513,1617548
1514,1617543
1515,1617460
1516,1617289
1517,1617288
1518,1617271
1519,1617251
1520,1617228
1521,1617226
1522,1617194
1523,1617161
1524,1617134
1525,1617063
1526,1617035
1527,1616963
1528,1616958
1529,1616954
1530,1615805
1531,1615804
1532,1615712
1533,1615701
1534,1615699
1535,1614572
1536,1614570
1537,1614564
1538,1614438
1539,1614437
1540,1614426
1541,1614361
1542,1614283
1543,1614074
1544,1613102
1545,1613075
1546,1612643
1547,1612535
1548,1612492
1549,1612472
1550,1612470
1551,1612444
1552,1612290
1553,1611618
1554,1611617
1555,1611616
1556,1611583
1557,1611557
1558,1611556
1559,1611555
1560,1610997
1561,1609856
1562,1609760
1563,1609693
1564,1609619
1565,1609618
1566,1609617
1567,1609606
1568,1609562
1569,1609561
1570,1609535
1571,1609365
1572,1609257
1573,1609141
1574,1609140
1575,1609055
1576,1609054
1577,1608921
1578,1608890
1579,1608032
1580,1608031
1581,1608030
1582,1607886
1583,1607769
1584,1607768
1585,1607743
1586,1606684
1587,1606683
1588,1606654
1589,1606653
1590,1606649
1591,1606648
1592,1606310
1593,1605452
1594,1605451
1595,1605410
1596,1604749
1597,1604748
1598,1604747
1599,1604352
1600,1604351
1601,1602985
1602,1602984
1603,1602983
1604,1602629
1605,1601790
1606,1601788
1607,1601761
1608,1599684
1609,1599474
1610,1599186
1611,1599165
1612,1598923
1613,1598820
1614,1598155
1615,1598088
1616,1598064
1617,1598039
1618,1598022
1619,1597984
1620,1597918
1621,1597717
1622,1597705
1623,1597641
1624,1597554
1625,1597489
1626,1597426
1627,1597415
1628,1597402
1629,1594400
1630,1592257
1631,1590969
1632,1590922
1633,1590902
1634,1590894
1635,1590666
1636,1590613
1637,1589665
1638,1589663
1639,1589648
1640,1589548
1641,1589498
1642,1589416
1643,1587438
1644,1587363
1645,1587344
1646,1587028
1647,1587027
1648,1585607
1649,1585462
1650,1584632
1651,1584605
1652,1584364
1653,1584104
1654,1581915
1655,1581814
1656,1580847
1657,1580570
1658,1580569
1659,1579166
1660,1579165
1661,1579155
1662,1579154
1663,1577684
1664,1576653
1665,1575292
1666,1575285
1667,1575276
1668,1575158
1669,1575037
1670,1574890
1671,1574681
1672,1573888
1673,1573856
1674,1569691
1675,1569549
1676,1569182
1677,1569077
1678,1566907
1679,1566400
1680,1560290
1681,1559327
1682,1556854
1683,1553812
1684,1553156
1685,1547756
1686,1544039
1687,1541152
1688,1534388
1689,1531443
1690,1514247
1691,1617152
1692,1615391
1693,1615372
1694,1614760
1695,1614134
1696,1614102
1697,1613994
1698,1613083
1699,1612265
1700,1611394
1701,1610146
1702,1603257
1703,1602105
1704,1599026
1705,1598535
1706,1596869
1707,1596640
1708,1596637
1709,1596467
1710,1595226
1711,1594928
1712,1594562
1713,1592285
1714,1591128
1715,1591122
1716,1589623
1717,1588782
1718,1588780
1719,1588604
1720,1588594
1721,1588205
1722,1587931
1723,1587880
