109,2014 TOYOTA,COROLLA,LE Plus Sedan 4D,"4-Cyl, 1.8 Liter",29 City / 38 Hwy,Silver,Lt. Gray,"Automatic, CVTi-S",4 Door Sedan,2,"$11,990","| 85,438 miles"
110,2016 HONDA,PILOT,EX-L Sport Utility 4D,"V6, I-VTEC, 3.5 Liter",19 City / 27 Hwy,White,Beige,"Automatic, 6-Spd",4 Door SUV,2,"$24,990","| 41,128 miles"
111,2016 CHEVROLET,TRAVERSE,LT Sport Utility 4D,"V6, 3.6 Liter",15 City / 22 Hwy,Blue,Black,"Automatic, 6-Spd",4 Door SUV,1,"$19,590","| 60,137 miles"
112,2015 TOYOTA,COROLLA,LE Sedan 4D,"4-Cyl, 1.8 Liter",29 City / 38 Hwy,Gray,Tan,"Automatic, CVTi-S",4 Door Sedan,1,"$12,990","| 55,114 miles"
113,2012 LEXUS,CT,CT 200h Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",43 City / 40 Hwy,Gray,Black,"Automatic, CVT",4 Door Hatchback,1,"$15,590","| 59,511 miles"
114,2017 KIA,FORTE,LX Sedan 4D,"4-Cyl, 2.0 Liter",29 City / 38 Hwy,White,Black,"Automatic, 6-Spd",4 Door Sedan,1,"$13,590","| 32,732 miles"
115,2013 MAZDA,MAZDA3,MAZDASPEED3 Touring Hatchback 4D,"4-Cyl, Turbo, 2.3 Liter",18 City / 25 Hwy,Red,Black,"Manual, 6-Spd",4 Door Hatchback,1,"$16,590","| 96,345 miles"
116,2009 HONDA,CIVIC,LX-S Sedan 4D,"4-Cyl, VTEC, 1.8 Liter",25 City / 36 Hwy,White,Black,"Automatic, 5-Spd W/Overdrive",4 Door Sedan,1,"$9,990","| 88,019 miles"
117,2016 BMW,X1,xDrive28i Sport Utility 4D,"4-Cyl, Twin Turbo, 2.0L",22 City / 32 Hwy,Gray,Black Sensatec,Auto 8-Spd Stptrnc Manual,4 Door SUV,1,"$24,990","| 15,285 miles"
118,2013 HONDA,CIVIC,LX Coupe 2D,"4-Cyl, I-VTEC, 1.8 Liter",28 City / 39 Hwy,Silver,Gray,"Automatic, 5-Spd",2 Door Coupe,1,"$11,590","| 77,709 miles"
119,2019 JEEP,CHEROKEE,Latitude Plus Sport Utility 4D,"4-Cyl, Zero Evap, 2.4 Liter",21 City / 30 Hwy,Black,Black Interior Color,"Automatic, 9-Spd",4 Door SUV,1,"$17,590","| 62,395 miles"
120,2013 DODGE,DART,SE Sedan 4D,"4-CYL, Tigershark 2.0L",25 City / 36 Hwy,Black,Black,"Manual, 6-Spd",4 Door Sedan,1,"$9,990","| 82,087 miles"
